,category_code,status,country_code,state_code,region,city,funding_round_type
28702,9,3,23,4,625,2006,0
28810,22,3,23,4,625,1512,0
28865,3,3,23,4,625,1224,0
28859,42,0,23,4,625,1197,0
28856,12,3,23,4,625,1285,0
28843,28,3,23,34,482,1352,0
28808,22,3,23,4,625,1512,0
28838,41,3,23,4,625,263,0
28832,1,3,23,4,625,1792,0
28831,1,3,23,4,625,1792,0
28830,1,3,23,4,625,1792,0
28824,12,3,23,4,625,1792,0
28818,22,3,23,9,659,1843,0
28701,9,3,23,4,625,2006,0
29360,23,0,23,10,23,93,0
29359,23,0,23,10,23,93,0
29342,15,3,23,44,640,1520,0
29315,22,0,23,43,164,491,0
29311,38,3,23,38,557,1558,0
29310,38,3,23,38,557,1558,0
29309,38,3,23,38,557,1558,0
29295,12,3,23,4,558,1558,0
29289,3,3,23,24,635,1772,0
29308,38,3,23,38,557,1558,0
29375,16,3,23,16,325,936,0
29414,7,3,23,4,373,2048,0
29413,35,3,23,42,410,1192,0
29409,12,3,23,34,482,1352,0
29404,42,3,23,4,625,1729,0
29403,42,3,23,23,430,1232,0
29395,8,3,23,4,625,1512,0
29370,22,3,23,16,325,1601,0
29392,42,1,23,43,299,873,0
29388,38,3,23,4,625,1224,0
29387,30,3,23,4,625,1285,0
29385,12,1,23,9,467,1323,0
29378,8,3,23,18,479,1347,0
29376,42,3,23,4,625,1512,0
29192,8,3,23,4,625,1512,0
29190,8,3,23,4,625,1512,0
29189,8,3,23,4,625,1512,0
29184,10,3,23,34,482,1352,0
29161,22,1,23,4,625,1197,0
29137,21,3,23,4,625,1434,0
29135,22,3,23,34,482,1352,0
29129,42,3,23,33,347,1021,0
29128,42,3,23,33,347,1021,0
29201,22,3,23,45,778,81,0
29229,37,3,23,34,482,1352,0
29227,42,0,23,43,31,105,0
29224,35,3,23,4,625,1792,0
29223,16,3,23,34,482,1352,0
29221,42,1,23,17,377,1085,0
29220,42,3,23,34,482,1352,0
29219,42,3,23,34,482,1352,0
29218,22,3,23,4,373,1080,0
29215,33,3,23,19,78,231,0
29208,9,3,23,4,625,1807,0
29207,9,3,23,4,625,1807,0
29206,9,3,23,4,625,1807,0
29205,9,3,23,4,625,1807,0
29203,1,3,23,4,625,1792,0
29202,1,3,23,4,625,1792,0
28694,12,3,23,14,126,383,0
28167,35,3,23,19,78,1985,0
28130,22,3,23,43,31,105,0
28127,37,3,23,38,557,1558,0
28115,12,1,23,4,373,1080,0
28107,25,1,23,24,635,1772,0
28087,9,3,23,4,625,1792,0
28085,38,1,23,6,478,1346,0
28077,1,3,23,4,625,1792,0
28060,9,3,23,4,642,1788,0
28059,9,3,23,4,642,1788,0
28284,8,3,23,14,126,624,0
28277,7,3,23,15,309,338,0
28276,5,3,23,43,164,1666,0
28273,1,3,23,18,479,1347,0
28266,0,0,23,4,373,1832,0
28256,7,3,23,34,482,1352,0
28238,10,3,23,43,164,491,0
28235,7,3,23,4,625,1800,0
28232,37,3,23,38,555,1547,0
28058,9,3,23,4,642,1788,0
27858,7,3,23,4,625,1083,0
27857,38,3,23,4,642,1788,0
27850,11,3,23,42,469,688,0
27847,38,3,23,4,625,1834,0
27828,1,3,23,4,625,1434,0
27818,33,3,23,9,529,1464,0
27793,3,3,23,38,555,2134,0
27787,22,3,23,4,625,1792,0
27786,22,3,23,4,625,1792,0
28055,9,1,23,30,468,1324,0
27892,42,3,23,4,373,841,0
28031,38,1,23,45,778,1182,0
28027,0,3,23,47,667,1860,0
28018,3,3,23,34,812,2249,0
28017,3,3,23,34,812,2249,0
28016,3,3,23,34,812,2249,0
27982,7,0,23,5,171,233,0
27975,39,3,23,4,625,1792,0
27950,22,3,23,4,373,1080,0
27949,22,3,23,4,373,1080,0
27939,0,3,23,47,667,958,0
27932,15,3,23,35,133,398,0
27904,38,0,23,4,625,1512,0
27995,37,3,23,4,628,1768,0
28318,23,3,23,4,373,865,0
28320,0,3,23,34,482,1352,0
28321,0,3,23,34,482,1352,0
